Atom,x1,D1,Radius
Du,0.4,5000,0.7
H_,2.886,0.044,0.371
H_b,2.886,0.044,0.371
He4+4,2.362,0.056,1.3
Li,2.451,0.025,1.557
Be3+2,2.745,0.085,1.24
B_3,4.083,0.18,0.822
B_2,4.083,0.18,0.822
C_3,3.851,0.105,0.759
C_R,3.851,0.105,0.759
C_2,3.851,0.105,0.759
C_1,3.851,0.105,0.759
N_3,3.66,0.069,0.715
N_R,3.66,0.069,0.715
N_2,3.66,0.069,0.715
N_1,3.66,0.069,0.715
O_3,3.5,0.06,0.669
O_3_z,3.5,0.06,0.669
O_3_f,3.5,0.06,0.669
O_2_z,3.5,0.06,0.669
O_R,3.5,0.06,0.669
O_2,3.5,0.06,0.669
O_1,3.5,0.06,0.669
F_,3.364,0.05,0.706
Ne4+4,3.243,0.042,1.768
Na,2.983,0.03,2.085
Mg3+2,3.021,0.111,1.5
Mg6,3.021,0.111,1.5
Al3,4.499,0.505,1.201
Al6+3,4.499,0.505,1.201
Si3,4.295,0.402,1.176
P_3+3,4.147,0.305,1.102
P_3+5,4.147,0.305,1.102
P_3+q,4.147,0.305,1.102
S_3+2,4.035,0.274,1.047
S_3+4,4.035,0.274,1.047
S_3+6,4.035,0.274,1.047
S_R,4.035,0.274,1.047
S_2,4.035,0.274,1.047
Cl,3.947,0.227,0.994
Ar4+4,3.868,0.185,2.108
K_,3.812,0.035,2.586
Ca6+2,3.399,0.238,2
Sc3+3,3.295,0.019,1.75
Sc6+3,3.175,0.017,1.75
Ti3+4,3.175,0.017,1.607
Ti6+4,3.175,0.017,1.607
Ti4+2,3.175,0.017,1.607
V_3+5,3.144,0.016,1.47
V_4+2,3.144,0.016,1.47
V_6+3,3.144,0.016,1.47
Cr6+3,3.023,0.015,1.402
Cr4+2,3.023,0.015,1.402
Cr6f3,3.023,0.015,1.402
Mn6+2,2.961,0.013,1.533
Mn6+3,2.961,0.013,1.533
Mn4+2,2.961,0.013,1.533
Fe3+2,2.912,0.013,1.393
Fe6+2,2.912,0.013,1.393
Fe6+3,2.912,0.013,1.393
Fe4+2,2.912,0.013,1.393
Co6+3,2.872,0.014,1.406
Co3+2,2.872,0.014,1.406
Co6+3,2.872,0.014,1.406
Ni4+2,2.834,0.015,1.398
Cu3+1,3.495,0.005,1.434
Cu4+2,3.495,0.005,1.434
Zn3+2,2.763,0.124,1.4
Zn4+2,2.763,0.124,1.4
Zn3f2,2.763,0.124,1.4
Ga3+3,4.383,0.415,1.211
Ge3,4.28,0.379,1.189
As3+3,4.23,0.309,1.204
Se3+2,4.205,0.291,1.224
Br,4.189,0.251,1.141
Kr4+4,4.141,0.22,2.27
Rb,4.114,0.04,2.77
Sr6+2,3.641,0.235,2.415
Y_3+3,3.345,0.072,1.998
Zr3+4,3.124,0.069,1.758
Nb3+5,3.165,0.059,1.603
Mo6+6,3.052,0.056,1.53
Mo3+6,3.052,0.056,1.53
Tc6+5,2.998,0.048,1.5
Ru6+2,2.963,0.056,1.5
Rh6+3,2.929,0.053,1.509
Pd4+2,2.899,0.048,1.544
Ag1+1,3.148,0.036,1.622
Cd3+2,2.848,0.228,1.6
In3+3,4.463,0.599,1.404
Sn3,4.392,0.567,1.354
Sb3+3,4.42,0.449,1.404
Te3+2,4.47,0.398,1.38
I_,4.5,0.339,1.333
Xe4+4,4.404,0.332,2.459
Cs,4.517,0.045,2.984
Ba6+2,3.703,0.364,2.442
La3+3,3.522,0.017,2.071
Ce6+3,3.556,0.013,1.925
Pr6+3,3.606,0.01,2.007
Nd6+3,3.575,0.01,2.007
Pm6+3,3.547,0.009,2
Sm6+3,3.52,0.008,1.978
Eu6+3,3.493,0.008,2.227
Gd6+3,3.368,0.009,1.968
Tb6+3,3.451,0.007,1.954
Dy6+3,3.428,0.007,1.934
Ho6+3,3.409,0.007,1.925
Er6+3,3.391,0.007,1.915
Tm6+3,3.374,0.006,2
Yb6+3,3.355,0.228,2.158
Lu6+3,3.64,0.041,1.896
Hf3+4,3.141,0.072,1.759
Ta3+5,3.17,0.081,1.605
W_6+6,3.069,0.067,1.538
W_3+4,3.069,0.067,1.538
W_3+6,3.069,0.067,1.538
Re6+5,2.954,0.066,1.6
Re3+7,2.954,0.066,1.6
Os6+6,3.12,0.037,1.7
Ir6+3,2.84,0.073,1.866
Pt4+2,2.754,0.08,1.557
Au4+3,3.293,0.039,1.618
Hg1+2,2.705,0.385,1.6
Tl3+3,4.347,0.68,1.53
Pb3,4.297,0.663,1.444
Bi3+3,4.37,0.518,1.514
Po3+2,4.709,0.325,1.48
At,4.75,0.284,1.47
Rn4+4,4.765,0.248,2.2
Fr,4.9,0.05,2.3
Ra6+2,3.677,0.404,2.2
Ac6+3,3.478,0.033,2.108
Th6+4,3.396,0.026,2.018
Pa6+4,3.424,0.022,1.8
U_6+4,3.395,0.022,1.713
Np6+4,3.424,0.019,1.8
Pu6+4,3.424,0.016,1.84
Am6+4,3.381,0.014,1.942
Cm6+3,3.326,0.013,1.9
Bk6+3,3.339,0.013,1.9
Cf6+3,3.313,0.013,1.9
Es6+3,3.299,0.012,1.9
Fm6+3,3.286,0.012,1.9
Md6+3,3.274,0.011,1.9
No6+3,3.248,0.011,1.9
Lw6+3,3.236,0.011,1.9
